theme	P(L)	P(I):	surface	gloss	i	a	COMMENTS/TODOS	noun/pronoun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn
countries				u_language_Malayalam	4045											
countries				u_language_Uzbek	4046											
countries				u_language_Sundanese	4047											
countries				u_language_Lao	4048											
countries				u_language_Tamazight	4049											
countries				u_language_Hakka_Chinese	4050											
countries				u_language_Punjabi	4051											
countries				u_language_Igbo	4052											
countries				u_language_Amharic	4053											
countries				u_language_Sindhi	4054											
countries				u_language_Malagasy	4055											
countries				u_language_Romanian	4056											
countries				u_language_Oromo	4057											
countries				u_language_Azerbaijani	4058											
countries				u_language_Dutch	4059											
countries				u_language_Marwari	4060											
countries				u_language_Dari	4061											
countries				u_language_Saraiki	4062											
countries				u_language_Cebuano	4063											
countries				u_language_Afrikaans	4064											
countries				u_language_Khmer	4065											
countries				u_language_Sinhala	4066											
countries				u_language_Nepali	4067											
countries				u_language_Somali	4068											
countries				u_language_Kurmanji_Kurdish	4069											
countries				u_language_Rangpuri	4070											
countries				u_language_Assamese	4071											
countries				u_language_Zhuang	4072											
countries				u_language_Magahi	4073											
countries				u_language_Bambara	4074											
countries				u_language_NKo	4075											
countries				u_language_Czech	4076											
countries				u_language_Greek	4077											
countries				u_language_Albanian	4078											
countries				u_language_Tsonga	4079											
countries				u_language_Kazakh	4080											
countries				u_language_Hungarian	4081											
countries				u_language_Swedish	4082											
countries				u_language_Chichewa	4083											
countries				u_language_Zulu	4084											
countries				u_language_Sylheti	4085											
countries				u_language_Twi	4086											
countries				u_language_Uyghur	4087											
countries				u_language_Kinyarwanda	4088											
countries				u_language_Catalan	4089											
countries				u_language_Ilocano	4090											
countries				u_language_Quechua	4091											
countries				u_language_Kalenjin	4092											
countries				u_language_Rundi	4093											
countries				u_language_Ga	4094											
countries				u_language_Serbian	4095											
countries				u_language_Shona	4096											
countries				u_language_Xhosa	4097											
countries				u_language_Tswana	4098											
countries				u_language_Bulgarian	4099											
countries				u_language_Tajik	4100											
countries				u_language_Tigrinya	4101											
countries				u_language_Haitian_Creole	4102											
countries				u_language_Baluchi	4103											
countries				u_language_Sorani_Kurdish	4104											
countries				u_language_Slovak	4105											
countries				u_language_Madurese	4106											
countries				u_language_Turkmen	4107											
countries				u_language_Kikuyu	4108											
countries				u_language_Croatian	4109											
countries				u_language_Kongo	4110											
countries				u_language_Tshiluba	4111											
countries				u_language_Santali	4112											
countries				u_language_Umbundu	4113											
countries				u_language_Hiligaynon	4114											
countries				u_language_Finnish	4115											
countries				u_language_Sesotho	4116											
countries				u_language_Kashmiri	4117											
countries				u_language_Danish	4118											
countries				u_language_Minang	4119											
countries				u_language_Sukuma	4120											
countries				u_language_Kituba	4121											
countries				u_language_Hebrew	4122											
countries				u_language_Mongolian	4123											
countries				u_language_Tatar	4124											
countries				u_language_Norwegian	4125											
countries				u_language_Armenian	4126											
countries				u_language_Mooré	4127											
countries				u_language_Betawi	4128											
countries				u_language_Kyrghyz	4129											
countries				u_language_Guarani	4130											
countries				u_language_Sepedi	4131											
countries				u_language_Sicilian	4132											
countries				u_language_Afar	4133											
countries				u_language_Kanuri	4134											
countries				u_language_Luo	4135											
countries				u_language_Bemba	4136											
countries				u_language_Luganda	4137											
countries				u_language_Wolof	4138											
countries				u_language_Kimbundu	4139											
countries				u_language_Konkani	4140											
countries				u_language_Hmong	4141											
countries				u_language_Georgian	4142											
countries				u_language_Ewe	4143											
countries				u_language_Romani	4144											
countries				u_language_Acehnese	4145											
countries				u_language_Balinese	4146											
countries				u_language_Shan	4147											
countries				u_language_Soga	4148											
countries				u_language_Lithuanian	4149											
countries				u_language_Garhwali	4150											
countries				u_language_Aymara	4151											
